,type,message,description,note,code
0,111,SYNDAT,"SYNTHETIC (BOGUS) TROPICAL CYCLONE STORM CENTER (generated in SYNDAT_SYNDATA) - q, Pstn",Not created (switch not set in SYNDAT_SYNDATA parm cards),111
1,112,,"PSEUDO MEAN SEA-LEVEL PRESSURE AT TROPICAL CYCLONE STORM CENTER (generated in GSI, does not appear in pre-analysis PREPBUFR files) - Pstn",Pstn used by assimilation  When implemented. may appear in post-analysis PREPBUFR file,112
2,120,ADPUPA,"RAWINSONDE - Tv, q, Pstn, sst","Tv, q, Pstn used by assimilation  sst monitored by assimilation by switch in convinfo text file read by GBL-GSI",120
3,122,ADPUPA,"CLASS SOUNDING - Tv, q, Pstn",Entire report tossed by switch in PREPOBS_PREPDATA parm cards  Entire report neither monitored nor assimilated - not in convinfo text file read by GBL-GSI,122
4,126,RASSDA,RASS [FROM NOAA PROFILER NETWORK (NPN) OR MULTI-AGENCY PROFILER (MAP) NETWORK] - Tv,Tv flagged for non-use by assimilation due to missing obs error  Tv monitored by assimilation by switch in convinfo text file read by GBL-GSI  NPN data are no longer produced after 13 September 2017.  Multiu-Agency data are still available.,126
5,130,AIRCFT,AIREP AND PIREP AIRCRAFT - Ts,Ts used by assimilation,130
6,131 R,AIRCFT,"AMDAR AIRCRAFT - Ts, q (E-AMDAR only)",q (E-AMDAR only) not considered by assimilation  Ts used by assimilation,131
7,132,ADPUPA,"FLIGHT-LEVEL RECONNAISSANCE AND PROFILE DROPSONDE - Tv, q, Pstn","q (non-U.S. drops, NASA global Hawk drops, all levels), Pstn (all drops) [and surface level Tv (all drops), surface level q (all drops)] flagged for non-use by assimilation by switch in PREPOBS_PREPDATA parm cards  Tv (all drops, above surface; reccos), q [U.S. (NOAA Gulf Stream and P-3, and USAF) drops, above surface; reccos] used by assimilation  q (non-U.S. drops, NASA global Hawk drops, all levels) and Tv (all drops, at surface) monitored by assimilation due to their being flagged by switch in PREPOBS_PREPDATA parm cards",132
8,133 R,AIRCAR,"MDCRS ACARS AIRCRAFT - Ts, q","Ts, q used by assimilation",133
9,134 R,AIRCFT,"TAMDAR AIRCRAFT - Ts, q","Ts, q monitored by assimilation by switch in convinfo text file read by GBL-GSI",134
10,135 R,AIRCFT,CANADIAN AMDAR AIRCRAFT - Ts,Ts monitored by assimilation by switch in convinfo text file read by GBL-GSI,135
11,150,SPSSMI,SSM/I SUPEROBED (1 DEGREE LAT/LON) FNMOC (OPERATIONAL) RAIN RATE (DMSP) - rr,rr monitored by assimilation by switch in pcpinfo text file read by GBL-GSI  Currently the assimilation obtains this directly from the spssmi dump file rather than from PREPBUFR file.  The SSM/I F-13 satellite went bad in November 2009 resulting in no data being processed upstream.  The empty dumps were turned off and the PREPOBS_PREPDATA parm cards were set to no longer process these data in October 2010.,150
12,151,GOESND,"NESDIS 1x1 F-O-V CLOUD TOP PRESSURE, TEMPERATURE; CLOUD AMOUNT (GOES)",Not dumped,151
13,152,SPSSMI,SSM/I SUPEROBED (1 DEGREE LAT/LON) NEURAL NET-3 PRECIPITABLE WATER OVER OCEAN (DMSP) - PWt,PWt flagged for non-use by assimilation due to missing obs error  PWt monitored by assimilation by switch in convinfo text file read by GBL-GSI  The SSM/I F-13 satellite went bad in November 2009 resulting in no data being processed upstream.  The empty dumps were turned off and the PREPOBS_PREPDATA parm cards were set to no longer process these data in October 2010.,152
14,153,GPSIPW,GPS-INTEGRATED PRECIPITABLE WATER (GPS-IPW) - PWt,Currently only reports from ENI (mainly over U.S.) are encoded into PREPBUFR file. European GNSS reports are skipped. PWt flagged for non-use by assimilation due to missing obs error  PWt monitored by assimilation by switch in convinfo text file read by GBL-GSI,153
15,154,,reserved for GOES IMAGER SKY-COVER DATA used only in RTMA/URMA,,154
16,156,GOESND,NESDIS 1x1 F-O-V 4-LAYER PRECIPITABLE WATER OVER LAND - CLEAR (GOES) - PWl,Not dumped,156
17,157,GOESND,NESDIS 1x1 F-O-V 4-LAYER PRECIPITABLE WATER OVER LAND - CLOUDY (GOES) - PWl,Not dumped,157
18,158,GOESND,NESDIS 1x1 F-O-V 4-LAYER PRECIPITABLE WATER OVER OCEAN - CLEAR (GOES) - PWl,Not dumped,158
19,159,GOESND,NESDIS 1x1 F-O-V 4-LAYER PRECIPITABLE WATER OVER OCEAN - CLOUDY (GOES) - PWl,Not dumped,159
20,164,GOESND,NESDIS 1x1 F-O-V RADIANCES OVER LAND - CLEAR (GOES) - Tb,Not dumped,164
21,165,GOESND,NESDIS 1x1 F-O-V RADIANCES OVER LAND - CLOUDY (GOES) - Tb,Not dumped,165
22,170,,"NACELLE - Tb, q",Not dumped,170
23,171,,"TALL TOWER - Tb, q",Not dumped,171
24,174,GOESND,NESDIS 1x1 F-O-V RADIANCES OVER OCEAN - CLEAR (GOES) - Tb,Not dumped,174
25,175,GOESND,NESDIS 1x1 F-O-V RADIANCES OVER OCEAN - CLOUDY (GOES) - Tb,Not dumped,175
26,180 (R - U.S. & JMA SHIPS),SFCSHP,"SURFACE MARINE WITH REPORTED STATION PRESSURE (SHIP, BUOY, C-MAN, TIDE GAUGE) - Tv, q, Pstn, sst","Tv, q, Pstn used by assimilation  sst monitored by assimilation by switch in convinfo text file read by GBL-GSI",180
27,181 (R - WMO Res 40 SYNOPS),ADPSFC,"SURFACE LAND [SYNOPTIC (fixed and mobile), METAR] WITH REPORTED STATION PRESSURE - Tv, q, Pstn, sst","Pstn used by assimilation  Tv, q flagged for non-use by assimilation due to missing obs error  Tv, q, sst monitored by assimilation by switch in convinfo text file read by GBL-GSI",181
28,182,SFCSHP,"SPLASH-LEVEL DROPSONDE OVER OCEAN - Tv, q, Pstn","Tv, q, Pstn used by assimilation",182
29,"183 (R - WMO Res 40 SYNOPS, U.S. & JMA SHIPS)","ADPSFC, SFCSHP","SURFACE MARINE (SHIP, BUOY, C-MAN, TIDE GAUGE) OR LAND [SYNOPTIC (fixed and mobile), METAR] WITH MISSING STATION PRESSURE - Tv, q, Pstn, sst","Tv, q, Pstn (entire report) flagged for non-use by assimilation due to missing obs error  Tv, q, Pstn, sst monitored by assimilation by switch in convinfo text file read by GBL-GSI  Altimeter setting is also missing (always the case for synoptic). Station pressure calculated from reported mean sea-level pressure and elevation via U.S. Standard Atmosphere approximation. Elevation is greater than 7.5 meters (if less than 7.5 meters, station pressure set equal to sea-level pressure and report type set to 181).",183
30,187,ADPSFC,"SURFACE LAND (METAR) WITH MISSING STATION PRESSURE - Tv, q, Pstn, sst","Pstn used by assimilation  Tv, q flagged for non-use by assimilation due to missing obs error  Tv, q, sst monitored by assimilation by switch in convinfo text file read by GBL-GSI  Altimeter setting is reported (never the case for synoptic). Station pressure calculated from reported altimeter setting and elevation.",187
31,188 R,MSONET,"SURFACE MESONET - Tv, q, Pstn",Not dumped,188
